Publisher,Website,Type of Publisher,Genres Published,Year Established,Address,Name,Title,Mission Statement / Editorial Focus,Submission Info,Distributors
Brattle Street Publishing,https://brattlestreetreview.com/,"Online, Press","Creative Nonfiction, Fiction, Poetry, Autobiography Memoir, Drama, Essays, Horror Thriller Suspense, Humor, Mystery Crime, Political, Sci Fi Fantasy Speculative",2024,"Houma, LA",Art Foster,Editor-in-Chief,"Brattle Street Review was created to help new and promising young writers develop their craft. The all-volunteer staff is comprised of students and alumni of Harvard University. Additionally, all published content is original work created by students and alumni of Harvard University. We offer coaching and constructive feedback to all authors who submit, regardless of if we publish their work or not. We are proud to offer artists an avenue to get their creative works out to the world.  Although BSR exclusively publishes content created by Harvard University students and alumni, BSR is in no way endorsed by the University or any of its affiliates.",Yes Reading Period Year round Charges Writers A Submission/Reading Fee no Author Payments copies Contests no Instagram https://instagram@brattlestreetreview,Amazon KDP
Brick Cave Media,https://brickcave.media,Press,"Audio, Fiction, Poetry, Visual Art",2006,"Mesa, AZ",Bob Nelson,Principal Support Executive,"Brick Cave Media is a 21st century book publisher blending traditional publishing acumen with tried and true relationship building to create books that are professionally crafted, fun to read, and impactful to our communities.",,
Brickhouse Books,https://brickhousebooks.com,Press,"Creative Nonfiction, Fiction, Poetry, Cross Genre Hybrid, Experimental, Feminist",1970,"Timonium, MD",Tyson Koska,Publisher,To discover and amplify independent literary voices and never cry over spilled ink. Brickhouse magnifies the marginalized and clamors for fresh perspectives on the human condition.,"Yes Submission Guidelines URL https://brickhousebooks.com/contact Reading Period Year round Charges Writers A Submission/Reading Fee no Author Payments royalties, cash, copies Contests no Instagram https://www.instagram.com/brickhouse_books/",Self
Bridian House,https://www.bridianhouse.com,Press,"Creative Nonfiction, Fiction, Poetry, Autobiography Memoir, Horror Thriller Suspense, Mystery Crime, Political, Sci Fi Fantasy Speculative, Young Adult",2025,"Jacksonville, Arkansas",JC Lai Andurin,Owner,"Our goal is to create a publishing community where authors are heard, supported, and empowered, where agents and creatives do meaningful, sustainable work, and where books are treated not as commodities, but as crafted contributions to our world’s culture.",,
Broadside Lotus Press,http://www.broadsidelotuspress.org/,Press,Poetry,1965,"Detroit, Michigan",Christopher Rutherford,"President, Board of Directors","The primary mission of Broadside Lotus Press in the 21st century is to provide processes, structures and literature to engender and support a literate, politically conscious, socially responsible community capable of giving clear voice to the reality, experiences, needs and struggles of humanity. The realities of the 21st century reflect the growth and expansion of the post-industrial information era, in which power is based on the control and manipulation of knowledge by groups of people who share a common history, race/ethnicity, and place in the world.  In this knowledge-dominated age, Broadside Lotus Press will identify and support young writers who possess an awareness of the dynamics governing 21st Century life, and understanding of the ways in which these dynamics impact our communities, and the talent and skills necessary to clearly and persuasively articulate our current challenges and achievements as a people.",No,
Brooklyn Arts Press / Augury Books,https://brooklynartspress.com/,Press,"Fiction, Poetry, Visual Art",2007,"Brooklyn, NY",,,"Brooklyn Arts Press & Augury Books are literary presses out of Brooklyn, New York.",No,
Buckman Publishing LLC,https://www.buckmanpublishing.com/,Press,"Essays, Fiction, Graphic Novels Comics, Poetry, Reviews, Visual Art",2018,"Portland, OR",Rich Perin,Crew Member,"The main goal for Buckman Publishing is to engage new readers. Recognizing the day and age, a traditional page of text is out of line with the highly visual world we live in, and Buckman believes that the standard page of text needs to marry contemporary aesthetics. Affordability is also a factor to entice new readers, and all Buckman titles are priced accordingly.  Buckmxn Journal is the flagship, a highly visual bi-annual anthology that presents artists and writers together. It has quickly established itself as one of the best in the United States. We also publish book-length manuscripts, often illustrated.",,
Burningword Literary Journal,https://burningword.com/,"Magazine, Press","Creative Nonfiction, Fiction, Poetry, Visual Art",2000,"Lafayette, LA",Erik Deerly,Managing Editor,"Burningword Literary Journal (ISSN 2161-8992 print / ISSN 2157-7366 online) is a quarterly publication that seeks to discover and showcase the most exciting new voices in literature. It features an eclectic mix of poetry, short fiction, short nonfiction, and visual art. Burningword has been published continuously since June 2000.",No Charges Writers A Submission/Reading Fee no Contests no Number Of Issues Per Year 1,
Button Poetry,https://www.buttonpoetry.com,Press,"Poetry, Visual Art",2011,"St Anthony, Minnesota",Sam Van Cook,Founder,"By encouraging and broadcasting the best and brightest performance poets of today, we hope to broaden poetry’s audience, to expand its reach and develop a greater level of cultural appreciation for the art form.",No,
Calyx: A Journal of Art and Literature by Women,https://www.calyxpress.org/,"Magazine, Press","Fiction, Poetry, Criticism Reviews, Feminist, Interviews, Reviews, Visual Art",1976,"Corvallis, OR",Brenna Crotty,Senior Editor,"CALYX exists to nurture creativity by publishing fine literature and art by women and nonbinary creators. While CALYX has long existed to provide a platform for women’s work, it is an intersectional platform that serves to spotlight the voices of underrepresented communities in the literary world. We are dedicated to keeping that space open to cisgender women, transgender women, and nonbinary and genderfluid authors.  CALYX is committed to:  introducing a wide audience to high quality literature and art by women and nonbinary creators
providing a forum for diversity and underrepresented writers and viewpoints
discovering and publishing emerging and developing writers
preserving publications for future audiences",No Charges Writers A Submission/Reading Fee no Contests no,
Carnegie Mellon University Press,https://www.cmu.edu/universitypress/,Press,"Creative Nonfiction, Fiction, Poetry, Autobiography Memoir, Drama, Essays, Regional, Translation",1972,"Pittsburgh, PA",Nicky Agate,Editorial Director,"Literature (poetry, fiction, drama, literature in translation)
Non-fiction
Architecture and art history
Social history (Pittsburgh and Western PA)
Literary criticism","no Fee Amount 25 Author Payments royalties, copies Contests no Instagram https://www.instagram.com/cmupress/",University of Chicago Press
Casa Carlini,https://casacarlini.com,Press,"Creative Nonfiction, Fiction, Poetry, Cross Genre Hybrid, Audio, Autobiography Memoir, Horror Thriller Suspense, Political, Sci Fi Fantasy Speculative, Young Adult",2023,"New York, NY",Charles Carlini,Founder,"Casa Carlini is an independent publishing house dedicated to producing high-quality, timeless, and engaging literary works across a variety of genres. Through its distinct imprints—Poetica, Q, Vita, Thrive, Wonder, Carlini Classics, Enigma, Simply Charly, Topic, and Vagabondo—Casa Carlini caters to diverse audiences while maintaining a steadfast commitment to excellence, authenticity, and creativity. By leveraging its unique imprints, Casa Carlini aims to inspire, educate, and entertain readers worldwide, while fostering a culture of innovation, inclusivity, and environmental responsibility.",No,
"CavanKerry Press, Ltd.",http://cavankerrypress.org,Press,"Poetry, Visual Art",1999,"Fort Lee, NJ",Gabriel Cleveland,Managing Editor/Director,"""Lives Brought to Life""  A not-for-profit literary press serving art and community, CavanKerry is committed to expanding the reach of poetry and other fine literature to a general readership by publishing works that explore the emotional and psychological landscapes of everyday life, and to bringing that art to the underserved where they live, work, and receive services.",No Charges Writers A Submission/Reading Fee no Contests no,
